rating,movieID,userID,predicted_rating
1,1193,747,0
1,661,747,0
1,2804,747,0
1,919,747,0
1,2791,747,0
1,2797,747,0
1,720,747,0
1,1270,747,0
1,1097,747,0
1,588,747,0
1,260,747,0
5,1357,4439,0
5,2268,4439,0
5,3578,4439,0
5,1544,4439,0
5,2278,4439,0
2,589,4439,0
5,3654,4439,0
1,480,4439,0
5,1193,4439,0
5,1196,4439,0
5,593,4439,0
2,2571,4439,0
4,2396,4439,0
5,235,4439,0
5,21,4439,0
5,1090,4439,0
5,349,4439,0
5,1784,4439,0
5,2943,4439,0
5,1244,4439,0
2,3534,5974,0
2,2997,5974,0
1,260,5974,0
1,480,5974,0
2,733,5974,0
1,1196,5974,0
5,593,5974,0
2,3552,5974,0
1,1270,5974,0
1,260,4572,0
1,480,4572,0
5,1196,4572,0
3,1097,4572,0
1,3702,4572,0
1,2366,4572,0
5,2268,2795,0
5,3578,2795,0
1,3793,2795,0
2,2058,2795,0
2,2997,2795,0
5,47,2795,0
5,1617,2795,0
5,6,2795,0
2,733,2795,0
5,2282,2795,0
5,593,2795,0
1,2571,2795,0
1,1127,2795,0
5,1279,2795,0
2,1923,2795,0
5,3386,2795,0
1,2013,2795,0
5,908,2795,0
2,1449,2795,0
1,919,2795,0
5,1594,2795,0
2,2683,2795,0
2,2759,2795,0
4,353,2795,0
3,2406,698,0
5,3578,698,0
3,588,698,0
3,597,698,0
4,2506,698,0
3,3534,698,0
4,1947,698,0
3,2396,698,0
4,1380,698,0
5,3578,5286,0
1,3793,5286,0
2,589,5286,0
5,6,5286,0
3,733,5286,0
4,1196,5286,0
2,2571,5286,0
2,1270,5286,0
1,480,5286,0
3,349,5286,0
5,2268,1862,0
4,1393,1862,0
5,2278,1862,0
1,589,1862,0
2,733,1862,0
1,2571,1862,0
2,1916,1862,0
5,3386,1862,0
4,1357,1862,0
5,3252,1862,0
5,908,1862,0
5,111,1862,0
1,480,1862,0
3,2396,1862,0
2,349,1862,0
5,2329,1862,0
5,2268,1762,0
4,1393,1762,0
1,3793,1762,0
4,720,1762,0
5,47,1762,0
5,1617,1762,0
5,2278,1762,0
5,3510,1762,0
5,593,1762,0
1,2571,1762,0
3,597,1762,0
3,1777,1762,0
2,1923,1762,0
5,1784,1762,0
2,3253,1762,0
1,480,1762,0
2,349,1762,0
1,2622,3073,0
3,648,3073,0
1,2628,3073,0
3,3358,3073,0
5,3359,3073,0
5,1682,3073,0
1,1756,3073,0
1,1320,3073,0
1,2124,3073,0
5,2125,3073,0
5,1250,3073,0
1,2054,3073,0
5,1252,3073,0
1,1253,3073,0
5,720,3073,0
1,3868,3073,0
1,1254,3073,0
1,3869,3073,0
5,1256,3073,0
5,3500,3073,0
1,1257,3073,0
3,3501,3073,0
5,1259,3073,0
1,653,3073,0
1,1831,3073,0
5,3363,3073,0
1,586,3073,0
4,587,3073,0
1,3438,3073,0
1,588,3073,0
1,3439,3073,0
1,589,3073,0
1,1690,3073,0
5,3296,3073,0
1,223,3073,0
